id,x_minimo,x_maximo,y_minimo,y_maximo,peso_da_placa,area_pixels,perimetro_x,perimetro_y,soma_da_luminosidade,maximo_da_luminosidade,comprimento_do_transportador,tipo_do_aço_A300,tipo_do_aço_A400,espessura_da_chapa_de_aço,temperatura,index_de_bordas,index_vazio,index_quadrado,index_externo_x,indice_de_bordas_x,indice_de_bordas_y,indice_de_variacao_x,indice_de_variacao_y,indice_global_externo,log_das_areas,log_indice_x,log_indice_y,indice_de_orientaçao,indice_de_luminosidade,sigmoide_das_areas,minimo_da_luminosidade,falha_1,falha_2,falha_3,falha_4,falha_5,falha_6,falha_outros
0,154,169.0,260124,260136,100,75,27,17,9948.0,143.0,1364,Não,sim,40.0,80.79956986765761,0.2258,0.5833,0.8,0.011,0.5556,0.7059,0.14901424590336979,0.14901424590336979,0.0,1.8751,1.1761,1.0792,-0.2,0.0362,0.3068,125,False,0,False,False,não,False,Sim
1,1121,-186.0,1789332,1789337,100,-206,9,-194,2240.0,150.0,-214,Não,sim,50.0,79.7907206368532,0.3412,0.5143,0.7143,0.0052,0.7778,0.8333,-0.0414792903513554,-0.0414792903513554,0.0,1.2305,0.8451,0.699,-0.2857,0.0294,0.1441,115,False,False,False,True,Não,False,Não
2,41,216.0,2708878,2708939,100,6298,275,134,654634.0,126.0,1358,não,sim,40.0,80.87197048276663,0.0604,0.41,0.3486,0.1289,0.6364,0.4552,-0.08996214192594132,-0.054971962461439816,0.0,3.7992,2.243,1.7853,-0.6514,-0.1879,1.0,42,False,False,True,False,não,False,Não
3,129,157.0,86408,86427,100,276,39,26,33858.0,135.0,1362,Não,Sim,40.0,77.48224695837098,0.1894,0.4812,0.6786,0.0206,0.7179,0.7308,0.2546862386013201,0.45103519272356735,0.0,2.4409,1.4472,1.2787,-0.3214,-0.0416,0.8223,115,False,False,True,False,não,False,Não
4,436,442.0,4959398,530985,100,63,17,17,6374.0,116.0,1356,1,Não,70.0,73.85454987445387,0.6431,0.3823,0.3529,0.0044,0.3529,1.0,0.9297539875829992,-0.07024601241700079,1.0,1.7993,0.7782,1.2305,0.6471,-0.2096,0.2083,90,False,True,False,False,Não,False,Não
5,-11,-186.0,590440,590503,100,-206,198,119,637317.0,125.0,1358,Não,Sim,40.0,76.12150100991973,0.0574,0.3789,0.4013,0.1156,0.7929,0.5294,-0.07024108708475416,0.9297589129152458,0.0,3.7884,2.1959,1.7993,-0.5987,-0.1895,1.0,45,False,False,True,False,não,False,Não
6,39,217.0,1359602,1359742,100,10276,552,319,1187807.0,141.0,1400,Não,Sim,40.0,62.6399200184873,0.0557,0.5876,0.7865,0.1271,0.3225,0.4389,0.47376384465221744,1.4737638446522174,0.0,4.0118,2.2504,2.1461,-0.2135,-0.097,1.0,25,0,False,True,False,não,False,Não
7,43,200.0,696884,696948,100,-206,206,129,626256.0,125.0,1358,não,sim,40.0,86.95075982704378,0.0633,0.397,0.4076,0.1156,0.7621,0.4961,0.9462854311615219,1.4664298956386288,0.0,3.7824,2.1959,1.8062,-0.5924,-0.1925,1.0,45,False,False,True,False,não,False,Não
8,772,777.0,1436089,1436092,100,11,-229,3,1398.0,135.0,1358,Não,Sim,50.0,84.82096152960388,0.8557,0.2667,0.6,0.0037,1.0,1.0,-0.14084231578048562,-0.14084231578048562,0.0,1.0414,0.699,0.4771,-0.4,-0.0071,0.1284,111,False,False,False,True,Não,False,Não
9,41,-186.0,1505915,1505982,100,6494,315,145,671353.0,127.0,1356,Não,sim,40.0,100.11599300525711,0.0605,0.4332,0.3918,0.1261,0.5429,0.4621,0.1627680130757894,1.1627680130757894,0.0,3.8125,2.233,1.8261,-0.6082,-0.1923,1.0,38,False,False,True,False,não,False,Não
10,843,-186.0,6712,6724,100,98,14,12,9016.0,102.0,1356,Não,sim,40.0,68.04480406337339,0.7434,0.0926,0.75,0.0066,0.6429,1.0,-0.10387964380170595,-0.07540541269458434,1.0,1.9912,0.9542,1.0792,0.25,-0.2813,0.215,82,False,False,False,False,não,False,Sim
11,1331,1336.0,4270168,4270218,100,177,15,50,17388.0,126.0,1360,Sim,não,100.0,75.964160284971,0.0353,0.292,0.1,0.0037,0.3333,1.0,-0.13971892607107705,-0.13971892607107705,1.0,2.248,0.699,1.699,0.9,-0.2325,0.4138,65,1,False,False,False,não,False,Não
12,-11,835.0,1553913,1553931,100,71,8,19,7972.0,125.0,1623,sim,Não,100.0,91.66986698025062,0.971,0.3426,0.3333,0.0037,0.75,0.9474,0.07258868146981023,0.07258868146981023,1.0,1.8513,0.7782,1.2553,0.6667,-0.1228,0.215,99,True,False,False,False,Não,False,Não
13,41,210.0,-20,4440576,100,5688,303,154,598976.0,125.0,1356,Não,Sim,40.0,83.5889016101163,0.0605,0.4572,0.3669,0.1246,0.5578,0.4026,-0.5739840733973394,0.42601592660266063,0.0,3.755,2.2279,1.7924,-0.6331,-0.1773,1.0,43,False,False,True,False,Não,False,Não
14,5261,643.0,1969029,1969068,100,365,39,40,39229.0,126.0,1710,sim,Não,-154.0,96.3153741096369,0.7322,0.4495,0.4359,0.0099,0.4359,0.975,-0.5174753497539099,-0.5174753497539099,1.0,2.5623,1.2305,1.5911,0.5641,-0.1603,0.9172,91,False,False,False,nao,não,False,Sim
15,435,729.0,4737382,4737394,100,1851,304,87,201109.0,132.0,1352,sim,Não,100.0,94.76269079141939,0.6435,0.4753,0.0408,0.2175,0.9671,0.1379,-0.1686862587722918,-0.1686862587722918,0.0,3.2674,2.4683,1.0792,-0.9592,-0.1512,1.0,947,False,False,False,False,Não,False,Sim
16,1214,1222.0,737538,737568,100,147,28,31,16908.0,133.0,1362,Não,Sim,175.0,55.70088544924066,0.2056,0.3875,0.2667,0.0059,0.2857,0.9677,0.6961506638996728,-0.3038493361003271,1.0,2.1673,0.9031,1.4771,0.7333,-0.1014,0.3977,105,False,True,False,False,Não,False,Não
17,7734,1103.0,4532922,4532948,100,364,99,60,41956.0,133.0,1358,sim,não,-154.0,82.57370946111853,0.3756,0.6111,0.7222,0.0265,0.3636,0.4333,0.09427419977858216,0.09427419977858216,0.0,2.5611,1.5563,1.415,-0.2778,-0.0995,0.9856,99,False,False,False,False,Não,True,Não
18,39,195.0,1863816,-166,100,13037,623,387,1505833.0,143.0,1402,Não,Sim,40.0,82.62650604632742,0.0556,0.5647,0.8125,0.1113,0.2504,0.4961,-0.27240722265636325,0.7275927773436368,1.0,4.1152,2.1931,2.2833,0.1875,-0.0976,1.0,35,False,False,True,False,Não,False,Não
