ORDEM,QUANTIDADE,PRECOINDIVIDUAL,VENDAS,DATAPEDIDO,STATUS,LINHAPRODUTOS,CODIGOPRODUTO,PAIS
10107,30,"95,7",2871,2/24/2003,Shipped,Motorcycles,S10_1678,USA
10121,34,"81,35","2765,9",5/7/2003,Shipped,Motorcycles,S10_1678,France
10134,41,"94,74","3884,34",7/1/2003,Shipped,Motorcycles,S10_1678,France
10145,45,"83,26","3746,7",8/25/2003,Shipped,Motorcycles,S10_1678,USA
10159,49,100,"5205,27",10/10/2003,Shipped,Motorcycles,S10_1678,USA
10168,36,"96,66","3479,76",10/28/2003,Shipped,Motorcycles,S10_1678,USA
10180,29,"86,13","2497,77",11/11/2003,Shipped,Motorcycles,S10_1678,France
10188,48,100,"5512,32",11/18/2003,Shipped,Motorcycles,S10_1678,Norway
10201,22,"98,57","2168,54",12/1/2003,Shipped,Motorcycles,S10_1678,USA
10211,41,100,"4708,44",1/15/2004,Shipped,Motorcycles,S10_1678,France
10223,37,100,"3965,66",2/20/2004,Shipped,Motorcycles,S10_1678,Australia
10237,23,100,"2333,12",4/5/2004,Shipped,Motorcycles,S10_1678,USA
10251,28,100,"3188,64",5/18/2004,Shipped,Motorcycles,S10_1678,USA
10263,34,100,"3676,76",6/28/2004,Shipped,Motorcycles,S10_1678,USA
10275,45,"92,83","4177,35",7/23/2004,Shipped,Motorcycles,S10_1678,France
10285,36,100,"4099,68",8/27/2004,Shipped,Motorcycles,S10_1678,USA
10299,23,100,"2597,39",9/30/2004,Shipped,Motorcycles,S10_1678,Finland
10309,41,100,"4394,38",10/15/2004,Shipped,Motorcycles,S10_1678,Norway
10318,46,"94,74","4358,04",11/2/2004,Shipped,Motorcycles,S10_1678,USA
10329,42,100,"4396,14",11/15/2004,Shipped,Motorcycles,S10_1678,USA
10341,41,100,"7737,93",11/24/2004,Shipped,Motorcycles,S10_1678,Austria
10361,20,"72,55",1451,12/17/2004,Shipped,Motorcycles,S10_1678,Australia
10375,21,"34,91","733,11",2/3/2005,Shipped,Motorcycles,S10_1678,France
10388,42,"76,36","3207,12",3/3/2005,Shipped,Motorcycles,S10_1678,USA
10403,24,100,"2434,56",4/8/2005,Shipped,Motorcycles,S10_1678,UK
10417,66,100,"7516,08",5/13/2005,Disputed,Motorcycles,S10_1678,Spain
10103,26,100,"5404,62",1/29/2003,Shipped,Classic Cars,S10_1949,Norway
10112,29,100,"7209,11",3/24/2003,Shipped,Classic Cars,S10_1949,Sweden
10126,38,100,"7329,06",5/28/2003,Shipped,Classic Cars,S10_1949,Spain
10140,37,100,"7374,1",7/24/2003,Shipped,Classic Cars,S10_1949,USA
10150,45,100,"10993,5",9/19/2003,Shipped,Classic Cars,S10_1949,Singapore
10163,21,100,"4860,24",10/20/2003,Shipped,Classic Cars,S10_1949,USA
10174,34,100,"8014,82",11/6/2003,Shipped,Classic Cars,S10_1949,Australia
10183,23,100,"5372,57",11/13/2003,Shipped,Classic Cars,S10_1949,USA
10194,42,100,"7290,36",11/25/2003,Shipped,Classic Cars,S10_1949,France
10206,47,100,"9064,89",12/5/2003,Shipped,Classic Cars,S10_1949,Canada
10215,35,100,"6075,3",1/29/2004,Shipped,Classic Cars,S10_1949,USA
10228,29,100,"6463,23",3/10/2004,Shipped,Classic Cars,S10_1949,USA
10245,34,100,"6120,34",5/4/2004,Shipped,Classic Cars,S10_1949,USA
10258,32,100,"7680,64",6/15/2004,Shipped,Classic Cars,S10_1949,Japan
10270,21,100,"4905,39",7/19/2004,Shipped,Classic Cars,S10_1949,Australia
10280,34,100,"8014,82",8/17/2004,Shipped,Classic Cars,S10_1949,Italy
10291,37,100,"7136,19",9/8/2004,Shipped,Classic Cars,S10_1949,Sweden
10304,47,100,"10172,7",10/11/2004,Shipped,Classic Cars,S10_1949,France
10312,48,100,"11623,7",10/21/2004,Shipped,Classic Cars,S10_1949,USA
10322,40,100,"6000,4",11/4/2004,Shipped,Classic Cars,S10_1949,USA
10333,26,100,3003,11/18/2004,Shipped,Classic Cars,S10_1949,USA
10347,30,100,"3944,7",11/29/2004,Shipped,Classic Cars,S10_1949,Australia
10357,32,100,"5691,84",12/10/2004,Shipped,Classic Cars,S10_1949,USA
10369,41,100,"4514,92",1/20/2005,Shipped,Classic Cars,S10_1949,USA
10381,36,100,"8254,8",2/17/2005,Shipped,Classic Cars,S10_1949,USA
10391,24,100,"2416,56",3/9/2005,Shipped,Classic Cars,S10_1949,Australia
10411,23,100,"4140,23",5/1/2005,Shipped,Classic Cars,S10_1949,Canada
10424,50,100,12001,5/31/2005,In Process,Classic Cars,S10_1949,Spain
10107,39,"99,91","3896,49",2/24/2003,Shipped,Motorcycles,S10_2016,USA
10120,29,"96,34","2793,86",4/29/2003,Shipped,Motorcycles,S10_2016,Australia
10134,27,100,"3307,77",7/1/2003,Shipped,Motorcycles,S10_2016,France
10145,37,100,"5192,95",8/25/2003,Shipped,Motorcycles,S10_2016,USA
10159,37,100,"5016,83",10/10/2003,Shipped,Motorcycles,S10_2016,USA
10168,27,100,"3660,93",10/28/2003,Shipped,Motorcycles,S10_2016,USA
10180,42,100,"4695,6",11/11/2003,Shipped,Motorcycles,S10_2016,France
10188,38,"96,34","3660,92",11/18/2003,Shipped,Motorcycles,S10_2016,Norway
10201,24,100,"3025,92",12/1/2003,Shipped,Motorcycles,S10_2016,USA
10210,23,100,"3009,09",1/12/2004,Shipped,Motorcycles,S10_2016,Japan
10223,47,100,"5422,39",2/20/2004,Shipped,Motorcycles,S10_2016,Australia
10236,22,100,"2852,08",4/3/2004,Shipped,Motorcycles,S10_2016,USA
10251,44,100,"5756,52",5/18/2004,Shipped,Motorcycles,S10_2016,USA
10263,40,100,4472,6/28/2004,Shipped,Motorcycles,S10_2016,USA
10275,22,100,"2904,44",7/23/2004,Shipped,Motorcycles,S10_2016,France
10285,47,100,"6484,59",8/27/2004,Shipped,Motorcycles,S10_2016,USA
10298,39,"96,34","3757,26",9/27/2004,Shipped,Motorcycles,S10_2016,France
10308,34,100,"4043,96",10/15/2004,Shipped,Motorcycles,S10_2016,USA
10318,45,100,"5566,5",11/2/2004,Shipped,Motorcycles,S10_2016,USA
10329,20,100,3176,11/15/2004,Shipped,Motorcycles,S10_2016,USA
10339,40,"68,92","2756,8",11/23/2004,Shipped,Motorcycles,S10_2016,Japan
10361,26,"51,15","1329,9",12/17/2004,Shipped,Motorcycles,S10_2016,Australia
10374,39,100,"5288,01",2/2/2005,Shipped,Motorcycles,S10_2016,Australia
10388,50,"44,51","2225,5",3/3/2005,Shipped,Motorcycles,S10_2016,USA
10402,45,100,"5833,8",4/7/2005,Shipped,Motorcycles,S10_2016,France
10417,45,100,"5887,35",5/13/2005,Disputed,Motorcycles,S10_2016,Spain
10107,27,100,"6065,55",2/24/2003,Shipped,Motorcycles,S10_4698,USA
10120,46,100,"9264,86",4/29/2003,Shipped,Motorcycles,S10_4698,Australia
10134,31,100,"7023,98",7/1/2003,Shipped,Motorcycles,S10_4698,France
10145,33,100,"5176,38",8/25/2003,Shipped,Motorcycles,S10_4698,USA
10159,22,100,"4132,7",10/10/2003,Shipped,Motorcycles,S10_4698,USA
10168,20,100,4183,10/28/2003,Shipped,Motorcycles,S10_4698,USA
10180,41,100,"8892,9",11/11/2003,Shipped,Motorcycles,S10_4698,France
10188,45,100,"8714,7",11/18/2003,Shipped,Motorcycles,S10_4698,Norway
10201,49,100,"8065,89",12/1/2003,Shipped,Motorcycles,S10_4698,USA
10210,34,100,"6123,4",1/12/2004,Shipped,Motorcycles,S10_4698,Japan
10223,49,100,"9774,03",2/20/2004,Shipped,Motorcycles,S10_4698,Australia
10237,39,100,"7023,9",4/5/2004,Shipped,Motorcycles,S10_4698,USA
10251,43,100,"7078,23",5/18/2004,Shipped,Motorcycles,S10_4698,USA
10263,41,100,"8336,94",6/28/2004,Shipped,Motorcycles,S10_4698,USA
10275,36,100,"6901,92",7/23/2004,Shipped,Motorcycles,S10_4698,France
10285,27,100,"5438,07",8/27/2004,Shipped,Motorcycles,S10_4698,USA
10299,29,100,"6683,34",9/30/2004,Shipped,Motorcycles,S10_4698,Finland
10308,20,100,"4570,4",10/15/2004,Shipped,Motorcycles,S10_4698,USA
10318,37,100,"7667,14",11/2/2004,Shipped,Motorcycles,S10_4698,USA
10329,26,100,"5868,2",11/15/2004,Shipped,Motorcycles,S10_4698,USA
10339,39,"76,67","2990,13",11/23/2004,Shipped,Motorcycles,S10_4698,Japan
10362,22,100,"3664,1",1/5/2005,Shipped,Motorcycles,S10_4698,USA
10374,22,100,"3834,38",2/2/2005,Shipped,Motorcycles,S10_4698,Australia
10388,21,"86,77","1822,17",3/3/2005,Shipped,Motorcycles,S10_4698,USA
10403,66,100,"11886,6",4/8/2005,Shipped,Motorcycles,S10_4698,UK
10417,56,100,"9218,16",5/13/2005,Disputed,Motorcycles,S10_4698,Spain
10105,50,100,7208,2/11/2003,Shipped,Classic Cars,S10_4757,Denmark
10119,46,100,"5004,8",4/28/2003,Shipped,Classic Cars,S10_4757,Austria
10129,33,100,"4398,24",6/12/2003,Shipped,Classic Cars,S10_4757,UK
10143,49,100,"5597,76",8/10/2003,Shipped,Classic Cars,S10_4757,USA
10155,32,100,"4526,08",10/6/2003,Shipped,Classic Cars,S10_4757,Finland
10167,44,100,"5924,16",10/23/2003,Cancelled,Classic Cars,S10_4757,Sweden
10178,24,100,"3492,48",11/8/2003,Shipped,Classic Cars,S10_4757,France
10186,26,100,"3854,24",11/14/2003,Shipped,Classic Cars,S10_4757,UK
10197,45,100,"5324,4",11/26/2003,Shipped,Classic Cars,S10_4757,Spain
10209,39,100,"5197,92",1/9/2004,Shipped,Classic Cars,S10_4757,USA
10222,49,100,"5997,6",2/19/2004,Shipped,Classic Cars,S10_4757,USA
10248,20,100,"2910,4",5/7/2004,Cancelled,Classic Cars,S10_4757,USA
10261,27,100,"3378,24",6/17/2004,Shipped,Classic Cars,S10_4757,Canada
10273,30,100,"3508,8",7/21/2004,Shipped,Classic Cars,S10_4757,Belgium
10283,25,100,2992,8/20/2004,Shipped,Classic Cars,S10_4757,Canada
10295,24,100,"3427,2",9/10/2004,Shipped,Classic Cars,S10_4757,USA
10307,22,100,"2692,8",10/14/2004,Shipped,Classic Cars,S10_4757,USA
10316,33,100,"4128,96",11/1/2004,Shipped,Classic Cars,S10_4757,UK
10325,47,"64,93","3051,71",11/5/2004,Shipped,Classic Cars,S10_4757,Norway
10337,25,"48,05","1201,25",11/21/2004,Shipped,Classic Cars,S10_4757,USA
10350,26,"75,47","1962,22",12/2/2004,Shipped,Classic Cars,S10_4757,Spain
10359,48,"54,68","2624,64",12/15/2004,Shipped,Classic Cars,S10_4757,France
10373,39,100,"4046,25",1/31/2005,Shipped,Classic Cars,S10_4757,Finland
10384,34,100,"4846,7",2/23/2005,Shipped,Classic Cars,S10_4757,USA
10395,32,100,"3370,56",3/17/2005,Shipped,Classic Cars,S10_4757,France
10400,64,100,"9661,44",4/1/2005,Shipped,Classic Cars,S10_4757,USA
10414,19,100,"2764,88",5/6/2005,On Hold,Classic Cars,S10_4757,USA
10103,42,100,"5398,26",1/29/2003,Shipped,Classic Cars,S10_4962,Norway
10114,31,100,"4305,28",4/1/2003,Shipped,Classic Cars,S10_4962,France
10126,22,100,"3347,74",5/28/2003,Shipped,Classic Cars,S10_4962,Spain
10140,26,100,"3188,12",7/24/2003,Shipped,Classic Cars,S10_4962,USA
10150,20,100,"3191,2",9/19/2003,Shipped,Classic Cars,S10_4962,Singapore
10164,21,100,"3536,82",10/21/2003,Resolved,Classic Cars,S10_4962,Austria
10175,33,100,"5362,83",11/6/2003,Shipped,Classic Cars,S10_4962,UK
10183,28,100,"3433,36",11/13/2003,Shipped,Classic Cars,S10_4962,USA
10194,26,100,"4263,74",11/25/2003,Shipped,Classic Cars,S10_4962,France
10207,31,100,"4076,19",12/9/2003,Shipped,Classic Cars,S10_4962,USA
10217,48,100,"7020,48",2/4/2004,Shipped,Classic Cars,S10_4962,Singapore
10229,50,100,"6426,5",3/11/2004,Shipped,Classic Cars,S10_4962,USA
10245,28,100,"4591,72",5/4/2004,Shipped,Classic Cars,S10_4962,USA
10259,26,100,"4033,38",6/15/2004,Shipped,Classic Cars,S10_4962,Singapore
10270,32,100,"4302,08",7/19/2004,Shipped,Classic Cars,S10_4962,Australia
10281,44,100,"7020,64",8/19/2004,Shipped,Classic Cars,S10_4962,USA
10291,30,100,"3855,9",9/8/2004,Shipped,Classic Cars,S10_4962,Sweden
10305,38,100,"6680,78",10/13/2004,Shipped,Classic Cars,S10_4962,USA
10313,40,100,6678,10/22/2004,Shipped,Classic Cars,S10_4962,Canada
10322,46,"61,99","2851,54",11/4/2004,Shipped,Classic Cars,S10_4962,USA
10334,26,100,"3188,12",11/19/2004,On Hold,Classic Cars,S10_4962,Sweden
10347,27,100,4428,11/29/2004,Shipped,Classic Cars,S10_4962,Australia
10357,43,100,"5780,92",12/10/2004,Shipped,Classic Cars,S10_4962,USA
10370,35,"65,63","2297,05",1/20/2005,Shipped,Classic Cars,S10_4962,Australia
10381,37,100,"6231,54",2/17/2005,Shipped,Classic Cars,S10_4962,USA
10391,37,"46,9","1735,3",3/9/2005,Shipped,Classic Cars,S10_4962,Australia
